Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
IPDN,"Professional Diversity Network, Inc.",7.51,24623690.37,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/ipdn
QBAK,Qualstar Corporation,2.9,5921855.1,n/a,2000,Technology,Electronic Components,http://www.nasdaq.com/symbol/qbak
QRHC,Quest Resource Holding Corporation.,1.97,30068744.34,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/qrhc
QUMU,Qumu Corporation,3.0499,28147658.25,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/qumu
RBCN,"Rubicon Technology, Inc.",0.5299,14216592.25,n/a,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/rbcn
LEDS,SemiLEDS Corporation,3.91,11496533.9,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/leds
SGOC,"SGOCO Group, Ltd",3.605,16118730.08,n/a,2010,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sgoc
SHSP,"SharpSpring, Inc.",5.13,42878976.75,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/shsp
SGMA,"SigmaTron International, Inc.",5.22,21848899.86,n/a,1994,Technology,Electrical Products,http://www.nasdaq.com/symbol/sgma
SMSI,"Smith Micro Software, Inc.",1.62,19965553.92,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/smsi
SMTX,SMTC Corporation,1.35,22288743,n/a,2000,Technology,Electrical Products,http://www.nasdaq.com/symbol/smtx
SRAX,"Social Reality, Inc.",6.25,43381731.25,n/a,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/srax
SCKT,"Socket Mobile, Inc.",3.38,19822026.9,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/sckt
SOFO,"Sonic Foundry, Inc.",5.06,22322488.54,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sofo
ANY,Sphere 3D Corp.,0.5491,28488955.3,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/any
STAF,"Staffing 360 Solutions, Inc.",1.02,10094781.9,n/a,1996,Technology,Professional Services,http://www.nasdaq.com/symbol/staf
STRM,"Streamline Health Solutions, Inc.",1.73,34001911.32,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/strm
SPCB,"SuperCom, Ltd.",2.86,44311738.9,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/spcb
SCON,Superconductor Technologies Inc.,2.09,6848474.38,n/a,1993,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/scon
SPRT,"support.com, Inc.",0.722,40090921.42,n/a,2000,Technology,EDP Services,http://www.nasdaq.com/symbol/sprt
SYRX,Sysorex Global,0.1805,4872242.818,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/syrx
TCCO,Technical Communications Corporation,2.75,5059661.75,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/tcco
TISA,"Top Image Systems, Ltd.",1.65,29566557.9,n/a,1996,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/tisa
TACT,TransAct Technologies Incorporated,6.45,47622697.8,n/a,1996,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/tact
TRT,Trio-Tech International,3.24,11382298.2,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/trt
TSRI,"TSR, Inc.",5.8,11379959.6,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/tsri
VISN,"VisionChina Media, Inc.",5.5,21793871,3962522,2007,Technology,Advertising,http://www.nasdaq.com/symbol/visn
WSCI,WSI Industries Inc.,2.8358,8279118.1,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/wsci
XPLR,Xplore Technologies Corp,2.43,26602009.47,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/xplr
ZDGE,"Zedge, Inc.",3.63,34078269.39,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/zdge
